state,county,population,ghi_upper,ghi_lower,ghi_range,climate_zone,lat,long,tmy3_location,avg_rep,peak_load,avg_load,load_factor,AIF_base,AID_base,EENS_base
California,Los Angeles County,10039107,6,5.5,5.5 - 6,Hot Dry,34.733,-118.217,723816,0.2231,3.760118828,1.084640284,0.288459044,0.3044,3.48,3.774548187
Illinois,Cook County,5150233,4.5,4,4 - 4.5,Cold,41.983,-87.917,725300,0.12,2.515218927,1.043279569,0.414786784,0.3044,3.48,3.630612901
Texas,Harris County,4713325,5,4.5,4.5 - 5,Hot Humid,30,-95.367,722430,0.104,6.963350689,1.710906106,0.245701557,0.3044,3.48,5.953953249
Arizona,Maricopa County,4485414,6,5.5,5.5 - 6,Hot Dry,33.45,-111.983,722780,0.1201,4.394277991,1.474639391,0.335581726,0.3044,3.48,5.131745082
California,San Diego County,3338330,6,5.5,5.5 - 6,Hot Dry,32.583,-116.983,722904,0.3311,2.521270767,0.908459548,0.360318122,0.3044,3.48,3.161439229
California,Orange County_ca,3175692,5.5,5,5 - 5.5,Hot Dry,33.683,-117.867,722977,0.2231,2.881049542,0.932205989,0.32356472,0.3044,3.48,3.244076843
Florida,Miami-Dade County,2716940,5.5,5,5 - 5.5,Hot Humid,25.817,-80.3,722020,0.1194,3.700847844,1.676924641,0.453119045,0.3044,3.48,5.83569775
Texas,Dallas County,2635516,5,4.5,4.5 - 5,Hot Humid,32.9,-97.017,722590,0.1058,8.431052641,1.881382117,0.223149137,0.3044,3.48,6.547209767
New York,Kings County,2559903,4.5,4,4 - 4.5,Mixed Humid,40.65,-73.8,744860,0.241,3.537951985,1.41993179,0.401342866,0.3044,3.48,4.941362628
California,Riverside County,2470546,6,5.5,5.5 - 6,Hot Dry,33.9,-117.25,722860,0.22,3.35943302,1.064682248,0.316923196,0.3044,3.48,3.705094225
Nevada,Clark County,2266715,6,5.5,5.5 - 6,Hot Dry,36.083,-115.15,723860,0.1174,4.211505465,1.277206748,0.303266079,0.3044,3.48,4.444679483
New York,Queens County,2253858,4.5,4,4 - 4.5,Mixed Humid,40.783,-73.883,725030,0.2281,3.550797549,1.43612638,0.404451777,0.3044,3.48,4.997719801
Washington,King County,2252782,3.5,3,3 - 3.5,Marine,47.467,-122.317,727930,0.1193,2.022915466,0.890323908,0.440119186,0.3044,3.48,3.098327199
California,San Bernardino County,2180085,6,5.5,5.5 - 6,Hot Dry,34.85,-116.8,723815,0.2231,4.304528624,1.236225452,0.28719183,0.3044,3.48,4.302064574
Texas,Tarrant County,2102515,5,4.5,4.5 - 5,Hot Humid,32.817,-97.367,722596,0.1057,7.85567605,1.920895323,0.244523235,0.3044,3.48,6.684715723
Texas,Bexar County,2003554,5.5,5,5 - 5.5,Hot Humid,29.533,-98.467,722530,0.1111,6.592440016,1.741338696,0.264141758,0.3044,3.48,6.059858661
Florida,Broward County,1952778,5.5,5,5 - 5.5,Hot Humid,26.067,-80.15,722025,0.1194,3.455294403,1.704111313,0.493188456,0.3044,3.48,5.93030737
California,Santa Clara County,1927852,5.5,5,5 - 5.5,Marine,37.367,-121.933,724945,0.2651,1.944575558,0.858133574,0.441296082,0.3044,3.48,2.986304838
Michigan,Wayne County,1749343,4,3.5,3.5 - 4,Cold,42.217,-83.35,725370,0.1794,2.389728152,1.042105251,0.436076903,0.3044,3.48,3.626526272
California,Alameda County,1671329,5.5,5,5 - 5.5,Marine,37.7,-121.817,724927,0.2651,1.934793979,0.867178747,0.448202112,0.3044,3.48,3.017782041
New York,New York County,1628706,4.5,4,4 - 4.5,Mixed Humid,40.783,-73.883,725030,0.2661,3.550797549,1.43612638,0.404451777,0.3044,3.48,4.997719801
Massachusetts,Middlesex County_ma,1611699,4.5,4,4 - 4.5,Cold,42.367,-71.017,725090,0.2587,2.633399554,1.028609554,0.3906014,0.3044,3.48,3.579561247
Pennsylvania,Philadelphia County,1584064,4.5,4,4 - 4.5,Mixed Humid,39.867,-75.233,724080,0.1288,3.92413258,1.429027946,0.364164033,0.3044,3.48,4.973017252
California,Sacramento County,1552058,5.5,5,5 - 5.5,Hot Dry,38.5,-121.5,724830,0.1632,3.8411153,0.997557738,0.259705231,0.3044,3.48,3.471500928
Florida,Palm Beach County,1496770,5.5,5,5 - 5.5,Hot Humid,26.683,-80.1,722030,0.1194,5.0717053,1.638812417,0.323128479,0.3044,3.48,5.703067213
New York,Suffolk County_ny,1476601,4.5,4,4 - 4.5,Mixed Humid,40.783,-73.1,725035,0.2275,3.780840276,1.407946629,0.372389873,0.3044,3.48,4.899654268
Florida,Hillsborough County,1471968,5.5,5,5 - 5.5,Hot Humid,27.967,-82.533,722110,0.1198,5.659449898,1.627440171,0.287561548,0.3044,3.48,5.663491794
New York,Bronx County,1418207,4.5,4,4 - 4.5,Mixed Humid,40.783,-73.883,725030,0.241,3.550797549,1.43612638,0.404451777,0.3044,3.48,4.997719801
Florida,Orange County_fl,1393452,5.5,5,5 - 5.5,Hot Humid,28.433,-81.333,722050,0.1325,4.842427147,1.571204189,0.324466252,0.3044,3.48,5.467790576
New York,Nassau County,1356924,4.5,4,4 - 4.5,Mixed Humid,40.717,-73.417,744864,0.2275,3.602115752,1.402881881,0.389460522,0.3044,3.48,4.882028947
Ohio,Franklin County,1316756,4.5,4,4 - 4.5,Cold,39.983,-82.883,724280,0.1298,2.366076424,1.023797985,0.432698612,0.3044,3.48,3.562816989
Texas,Travis County,1273954,5,4.5,4.5 - 5,Hot Humid,30.29,-97.74,722540,0.1065,6.438119013,1.689054871,0.262352229,0.3044,3.48,5.877910951
Minnesota,Hennepin County,1265843,4,3.5,3.5 - 4,Cold,44.883,-93.233,726580,0.1418,2.640750853,1.05419558,0.399202969,0.3044,3.48,3.668600619
Michigan,Oakland County,1257584,4,3.5,3.5 - 4,Cold,42.667,-83.417,726375,0.1794,2.74233748,1.043147928,0.380386417,0.3044,3.48,3.630154788
Ohio,Cuyahoga County,1235072,4,3.5,3.5 - 4,Cold,41.517,-81.683,725245,0.1377,2.429220825,1.028375727,0.423335629,0.3044,3.48,3.57874753
Pennsylvania,Allegheny County,1216045,4,3.5,3.5 - 4,Cold,40.5,-80.233,725200,0.1667,2.432551538,1.032015897,0.424252428,0.3044,3.48,3.591415322
Utah,Salt Lake County,1160437,5,4.5,4.5 - 5,Cold,40.77,-111.97,725720,0.1075,2.447062091,1.054782916,0.43104052,0.3044,3.48,3.670644549
California,Contra Costa County,1153526,5.5,5,5 - 5.5,Hot Dry,38,-122.05,724936,0.2651,3.870480925,0.940599014,0.243018641,0.3044,3.48,3.27328457
Virginia,Fairfax County,1147532,4.5,4,4 - 4.5,Mixed Humid,38.717,-77.183,724037,0.1236,5.035125431,1.457750778,0.289516279,0.3044,3.48,5.072972706
North Carolina,Wake County,1111761,5,4.5,4.5 - 5,Mixed Humid,35.867,-78.783,723060,0.1169,3.884368821,1.470315975,0.378521207,0.3044,3.48,5.116699594
North Carolina,Mecklenburg County,1110356,5,4.5,4.5 - 5,Mixed Humid,35.217,-80.95,723140,0.1099,3.920596943,1.479019633,0.37724348,0.3044,3.48,5.146988322
Georgia,Fulton County,1063937,5,4.5,4.5 - 5,Mixed Humid,33.633,-84.433,722190,0.1314,4.126895899,1.488487632,0.360679714,0.3044,3.48,5.179936959
Maryland,Montgomery County_md,1050688,4.5,4,4 - 4.5,Mixed Humid,38.98,-77.47,724030,0.1418,4.05609124,1.428511346,0.352189155,0.3044,3.48,4.971219485
Arizona,Pima County,1047279,6,5.5,5.5 - 6,Hot Dry,32.133,-110.95,722740,0.1343,4.146069936,1.24415508,0.300080582,0.3044,3.48,4.329659678
Texas,Collin County,1034730,5,4.5,4.5 - 5,Hot Humid,32.967,-96.833,722598,0.1062,8.380227993,1.999438049,0.238589935,0.3044,3.48,6.95804441
California,Fresno County,999101,5.5,5,5 - 5.5,Hot Dry,36.783,-119.717,723890,0.2651,4.05458738,1.139772429,0.281106885,0.3044,3.48,3.966408054
Missouri,St. Louis County,994205,4.5,4,4 - 4.5,Mixed Humid,38.75,-90.367,724340,0.1093,4.37710713,1.481168643,0.338389854,0.3044,3.48,5.154466877
Florida,Pinellas County,974996,5.5,5,5 - 5.5,Hot Humid,27.767,-82.633,722104,0.1413,4.503972023,1.662397416,0.369095857,0.3044,3.48,5.785143006
Hawaii,Honolulu County,974563,5.5,5,5 - 5.5,Hot Humid,21.317,-157.933,911820,0.3557,3.413178548,1.652353695,0.48410995,0.3044,3.48,5.750190859
New York,Westchester County,967506,4.5,4,4 - 4.5,Mixed Humid,41.067,-73.717,725037,0.2671,3.77837246,1.363891613,0.36097331,0.3044,3.48,4.746342812
Indiana,Marion County,964582,4.5,4,4 - 4.5,Cold,39.717,-86.267,724380,0.1202,2.716361599,1.052144688,0.387336019,0.3044,3.48,3.661463514
Florida,Duval County,957755,5,4.5,4.5 - 5,Hot Humid,30.333,-81.517,722068,0.1189,6.457731724,1.546058865,0.239412062,0.3044,3.48,5.380284849
Wisconsin,Milwaukee County,945726,4.5,4,4 - 4.5,Cold,42.95,-87.9,726400,0.1611,2.43188792,1.040527532,0.42786821,0.3044,3.48,3.62103581
Connecticut,Fairfield County,943332,4.5,4,4 - 4.5,Cold,41.183,-73.15,725040,0.2117,2.418186894,1.021061768,0.422242702,0.3044,3.48,3.553294954
Tennessee,Shelby County,937166,5,4.5,4.5 - 5,Mixed Humid,35.067,-89.983,723340,0.1079,4.277323429,1.546302412,0.361511688,0.3044,3.48,5.381132394
Georgia,Gwinnett County,936250,5,4.5,4.5 - 5,Mixed Humid,33.867,-84.3,722196,0.1236,4.302045964,1.474888209,0.342834135,0.3044,3.48,5.132610966
New Jersey,Bergen County,932202,4.5,4,4 - 4.5,Cold,40.85,-74.067,725025,0.1722,2.366955842,1.004647096,0.424446911,0.3044,3.48,3.496171894
Illinois,DuPage County,922921,4.5,4,4 - 4.5,Cold,41.917,-88.25,725305,0.1247,2.42150381,1.039676536,0.4293516,0.3044,3.48,3.618074344
New York,Erie County,918702,4,3.5,3.5 - 4,Cold,42.933,-78.733,725280,0.1616,2.402188583,1.028219508,0.428034466,0.3044,3.48,3.578203887
Maryland,Prince George's County,909327,4.5,4,4 - 4.5,Mixed Humid,38.817,-76.867,745940,0.1392,4.324752148,1.427741924,0.330132659,0.3044,3.48,4.968541897
Washington,Pierce County,904980,3.5,3,3 - 3.5,Marine,47.15,-122.483,742060,0.099,2.063763051,0.903571326,0.437827068,0.3044,3.48,3.144428215
California,Kern County,900202,6,5.5,5.5 - 6,Hot Dry,35.683,-117.683,746120,0.2651,4.237769234,1.205894605,0.284558818,0.3044,3.48,4.196513224
Connecticut,Hartford County,891720,4.5,4,4 - 4.5,Cold,41.933,-72.683,725080,0.2218,2.562578216,1.035257413,0.403990562,0.3044,3.48,3.602695796
Texas,Denton County,887207,5,4.5,4.5 - 5,Hot Humid,32.983,-97.317,722594,0.1058,7.843556606,1.91919834,0.244684706,0.3044,3.48,6.678810224
California,San Francisco County,881549,5,4.5,4.5 - 5,Marine,37.617,-122.4,724940,0.2264,1.958576864,0.863309451,0.440784055,0.3044,3.48,3.00431689
Michigan,Macomb County,873972,4,3.5,3.5 - 4,Cold,42.617,-82.233,725377,0.1794,2.522734511,1.02403884,0.405924141,0.3044,3.48,3.563655162
Texas,Hidalgo County,868707,5.5,5,5 - 5.5,Hot Humid,26.31,-98.17,722506,0.1045,6.090677025,1.699895582,0.279097968,0.3044,3.48,5.915636626
Connecticut,New Haven County,854757,4.5,4,4 - 4.5,Cold,41.267,-72.883,725045,0.2218,2.397220881,1.024139581,0.427219531,0.3044,3.48,3.56400574
California,Ventura County,846006,5.5,5,5 - 5.5,Marine,34.2,-119.2,723927,0.2231,1.900722628,0.851563491,0.448020915,0.3044,3.48,2.963440949
Texas,El Paso County_tx,839238,6,5.5,5.5 - 6,Hot Dry,31.77,-106.5,722700,0.1347,3.681490019,1.135910727,0.308546464,0.3044,3.48,3.952969329
Pennsylvania,Montgomery County_pa,830915,4.5,4,4 - 4.5,Mixed Humid,40.2,-75.15,724086,0.1288,3.688911675,1.404024772,0.380606774,0.3044,3.48,4.886006206
Massachusetts,Worcester County,830622,4.5,4,4 - 4.5,Cold,42.267,-71.883,725095,0.2581,2.46634176,1.026901616,0.416366309,0.3044,3.48,3.573617625
Maryland,Baltimore County,827370,4.5,4,4 - 4.5,Mixed Humid,39.167,-76.683,724060,0.127,3.765437125,1.437524997,0.381768424,0.3044,3.48,5.00258699
New Jersey,Middlesex County_nj,825062,4.5,4,4 - 4.5,Mixed Humid,40.717,-74.183,725020,0.1722,4.202655359,1.427523056,0.339671692,0.3044,3.48,4.967780233
Washington,Snohomish County,822083,3.5,3,3 - 3.5,Marine,47.9,-122.283,727937,0.1011,2.044208078,0.893936995,0.437302349,0.3044,3.48,3.110900742
Ohio,Hamilton County,817473,4.5,4,4 - 4.5,Mixed Humid,39.1,-84.417,724297,0.1128,4.284324858,1.415842449,0.330470377,0.3044,3.48,4.927131722
Oregon,Multnomah County,812855,4,3.5,3.5 - 4,Marine,45.6,-122.617,726980,0.1328,2.014745571,0.885087523,0.439304861,0.3044,3.48,3.080104581
Texas,Fort Bend County,811688,5,4.5,4.5 - 5,Hot Humid,29.65,-95.283,722435,0.104,5.226508707,1.597002472,0.305558177,0.3044,3.48,5.557568603
Massachusetts,Suffolk County_ma,803907,4.5,4,4 - 4.5,Cold,42.367,-71.017,725090,0.2586,2.633399554,1.028609554,0.3906014,0.3044,3.48,3.579561247
New Jersey,Essex County_nj,798975,4.5,4,4 - 4.5,Mixed Humid,40.717,-74.183,725020,0.1722,4.202655359,1.427523056,0.339671692,0.3044,3.48,4.967780233
Oklahoma,Oklahoma County,797434,5,4.5,4.5 - 5,Mixed Humid,35.417,-97.383,723540,0.11,4.322513438,1.557580557,0.360341403,0.3044,3.48,5.420380339
Massachusetts,Essex County_ma,789034,4.5,4,4 - 4.5,Cold,42.717,-71.117,744904,0.2574,2.387215921,1.020270439,0.427389257,0.3044,3.48,3.550541129
Florida,Lee County,770577,5.5,5,5 - 5.5,Hot Humid,26.583,-81.867,722106,0.1103,4.449017084,1.665920444,0.374446852,0.3044,3.48,5.797403144
Kentucky,Jefferson County,766757,4.5,4,4 - 4.5,Mixed Humid,38.183,-85.733,724230,0.1161,3.984168463,1.46641823,0.368061301,0.3044,3.48,5.10313544
California,San Mateo County,766573,5.5,5,5 - 5.5,Marine,37.617,-122.4,724940,0.2651,1.958576864,0.863309451,0.440784055,0.3044,3.48,3.00431689
California,San Joaquin County,762148,5.5,5,5 - 5.5,Hot Dry,37.9,-121.233,724920,0.2651,4.085273827,1.027648618,0.251549507,0.3044,3.48,3.57621719
Georgia,Cobb County,760141,5,4.5,4.5 - 5,Mixed Humid,33.917,-84.517,722270,0.1239,3.898953688,1.453044644,0.372675533,0.3044,3.48,5.05659536
Georgia,DeKalb County,759297,5,4.5,4.5 - 5,Mixed Humid,33.867,-84.3,722196,0.1349,4.302045964,1.474888209,0.342834135,0.3044,3.48,5.132610966
New York,Monroe County,741770,4,3.5,3.5 - 4,Cold,43.117,-77.683,725290,0.1406,2.413876236,1.032555601,0.427758303,0.3044,3.48,3.593293493
Colorado,Denver County,727211,5,4.5,4.5 - 5,Cold,39.742,-105.179,724666,0.1296,2.466006124,1.029644526,0.417535267,0.3044,3.48,3.58316295
Florida,Polk County,724777,5.5,5,5 - 5.5,Hot Humid,27.983,-82.017,722119,0.1221,6.0908121,1.657205646,0.272082872,0.3044,3.48,5.767075648
Colorado,El Paso County_co,720403,5,4.5,4.5 - 5,Cold,38.817,-104.717,724660,0.141,2.35711693,1.026137102,0.43533568,0.3044,3.48,3.570957117
Massachusetts,Norfolk County,706775,4.5,4,4 - 4.5,Cold,42.183,-71.183,725098,0.2577,2.395962425,1.033514529,0.431356735,0.3044,3.48,3.596630562
District of Columbia,District of Columbia,705749,4.5,4,4 - 4.5,Mixed Humid,38.867,-77.033,724050,0.1238,4.188787104,1.470597768,0.351079616,0.3044,3.48,5.117680231
Missouri,Jackson County,703011,4.5,4,4 - 4.5,Mixed Humid,39.117,-94.6,724463,0.1234,4.568209859,1.535238765,0.336070105,0.3044,3.48,5.342630903
Illinois,Lake County,696535,4.5,4,4 - 4.5,Cold,42.417,-87.867,725347,0.12,2.552366657,1.041380987,0.40800603,0.3044,3.48,3.624005834
Tennessee,Davidson County,694144,4.5,4,4 - 4.5,Mixed Humid,36.117,-86.683,723270,0.126,4.178838291,1.498142142,0.358506848,0.3044,3.48,5.213534655
Illinois,Will County,690743,4.5,4,4 - 4.5,Cold,41.767,-88.467,744655,0.12,2.659633873,1.050004707,0.394792952,0.3044,3.48,3.65401638
New Mexico,Bernalillo County,679121,6,5.5,5.5 - 6,Hot Dry,35.04,-106.62,723650,0.146,3.434423478,1.030943367,0.300179455,0.3044,3.48,3.587682917
New Jersey,Hudson County,672391,4.5,4,4 - 4.5,Mixed Humid,40.717,-74.183,725020,0.1616,4.202655359,1.427523056,0.339671692,0.3044,3.48,4.967780233
